Country Code|Bank Code|Bank Name|Initials|SWIFT/BIC
BR|00000000|Banco do Brasil S.A.|BCO DO BRASIL S.A.|
BR|00000208|BRB - BANCO DE BRASILIA S.A.|BRB - BCO DE BRASILIA S.A.|
BR|00038121|Banco Central do Brasil - Selic|Selic|
BR|00038166|Banco Central do Brasil|Bacen|
BR|00250699|AGK CORRETORA DE CAMBIO S.A.|AGK CC S.A.|
BR|00315557|CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI|CONF NAC COOP CENTRAIS UNICRED|
BR|00360305|CAIXA ECONOMICA FEDERAL|CAIXA ECONOMICA FEDERAL|
BR|00394460|Secretaria do Tesouro Nacional - STN|STN|
BR|00416968|Banco Inter S.A.|BANCO INTER|
BR|00517645|BANCO RIBEIRAO PRETO S.A.|BCO RIBEIRAO PRETO S.A.|
BR|00556603|BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.|BANCO BARI S.A.|
BR|00558456|Banco Cetelem S.A.|BCO CETELEM S.A.|
BR|00795423|Banco Semear S.A.|BANCO SEMEAR|
BR|00806535|Planner Corretora de Valores S.A.|PLANNER CV S.A.|
BR|00997185|Banco B3 S.A.|BCO B3 S.A.|
BR|01023570|Banco Rabobank International Brasil S.A.|BCO RABOBANK INTL BRASIL S.A.|
BR|01027058|CIELO S.A.|CIELO S.A.|
BR|01073966|Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz|CCR DE ABELARDO LUZ|
BR|01181521|BANCO COOPERATIVO SICREDI S.A.|BCO COOPERATIVO SICREDI S.A.|
BR|01330387|COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE|CREHNOR LARANJEIRAS|
BR|01522368|Banco BNP Paribas Brasil S.A.|BCO BNP PARIBAS BRASIL S A|
BR|01634601|CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO S|CCCM UNICRED CENTRAL RS|
BR|01658426|COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU|CECM COOPERFORTE|
BR|01701201|Kirton Bank S.A. - Banco Múltiplo|KIRTON BANK|
BR|01800019|"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO|PORTOCRED S.A. - CFI|
BR|01852137|BBC LEASING S.A. - ARRENDAMENTO MERCANTIL|BBC LEASING|
BR|02038232|BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB|BANCOOB|
BR|02276653|TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|TRINUS CAPITAL DTVM|
BR|02318507|BANCO KEB HANA DO BRASIL S.A.|BCO KEB HANA DO BRASIL S.A.|
BR|02332886|"XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A|XP INVESTIMENTOS CCTVM S/A|
BR|02398976|UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA|UNIPRIME NORTE DO PARANÁ - CC|
BR|02685483|"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA|CM CAPITAL MARKETS CCTVM LTDA|
BR|02801938|BANCO MORGAN STANLEY S.A.|BCO MORGAN STANLEY S.A.|
BR|02819125|"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.|UBS BRASIL CCTVM S.A.|
BR|02992317|Treviso Corretora de Câmbio S.A.|TREVISO CC S.A.|
BR|02992335|Câmara Interbancária de Pagamentos - CIP - LDL|CIP Siloc|
BR|03012230|Hipercard Banco Múltiplo S.A.|HIPERCARD BM S.A.|
BR|03017677|Banco J. Safra S.A.|BCO. J.SAFRA S.A.|
BR|03046391|UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.|UNIPRIME CENTRAL CCC LTDA.|
BR|03215790|Banco Toyota do Brasil S.A.|BCO TOYOTA DO BRASIL S.A.|
BR|03311443|"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.|PARATI - CFI S.A.|
BR|03323840|Banco Alfa S.A.|BCO ALFA S.A.|
BR|03502968|PI Distribuidora de Títulos e Valores Mobiliários S.A.|PI DTVM S.A.|
BR|03532415|Banco ABN Amro S.A.|BCO ABN AMRO S.A.|
BR|03609817|Banco Cargill S.A.|BCO CARGILL S.A.|
BR|03751794|Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.|TERRA INVESTIMENTOS DTVM|
BR|03973814|SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS DO RIO GRAN|SERVICOOP|
BR|04062902|VISION S.A. CORRETORA DE CAMBIO|VISION S.A. CC|
BR|04184779|Banco Bradescard S.A.|BANCO BRADESCARD|
BR|04257795|Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.|NOVA FUTURA CTVM LTDA.|
BR|04307598|FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L|FIDUCIA SCMEPP LTDA|
BR|04332281|GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.|GOLDMAN SACHS DO BRASIL BM S.A|
BR|04391007|Câmara Interbancária de Pagamentos|CIP Sitraf|
BR|04632856|Credisis - Central de Cooperativas de Crédito Ltda.|CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.|
BR|04715685|COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI|CCM DESP TRÂNS SC E RS|
BR|04814563|"SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.|SOROCRED CFI S.A.|
BR|04866275|Banco Inbursa S.A.|BANCO INBURSA|
BR|04902979|BANCO DA AMAZONIA S.A.|BCO DA AMAZONIA S.A.|
BR|04913129|Confidence Corretora de Câmbio S.A.|CONFIDENCE CC S.A.|
BR|04913711|Banco do Estado do Pará S.A.|BCO DO EST. DO PA S.A.|
BR|05351887|"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A|ZEMA CFI S/A|
BR|05442029|Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor|CASA CREDITO S.A. SCM|
BR|05463212|Cooperativa Central de Crédito - Ailos|COOP CENTRAL AILOS|
BR|05790149|Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP|CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO|
BR|06271464|Banco Bradesco BBI S.A.|BCO BBI S.A.|
BR|07207996|Banco Bradesco Financiamentos S.A.|BCO BRADESCO FINANC. S.A.|
BR|07237373|Banco do Nordeste do Brasil S.A.|BCO DO NORDESTE DO BRASIL S.A.|
BR|07450604|China Construction Bank (Brasil) Banco Múltiplo S/A|BCO CCB BRASIL S.A.|
BR|07512441|"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS|HS FINANCEIRA|
